id,"word_name","meaning","type"
178,"candidate","n. 候选人，候补者；应试者","Student&Professor"
179,"swamp","vi. 下沉；陷入沼泽；陷入困境；不知所措","Student&Professor"
180,"synthesis","n. 综合","Student&Professor"
181,"cushy","adj. 轻松的；容易的","Student&Professor"
182,"cognitive","adj. 认知的，认识的","Student&Professor"
183,"egocentric","自我中心的","Student&Professor"
184,"consecutive","adj. 连贯的；连续不断的","Student&Professor"
185,"squeeze","vt. 挤；紧握；勒索","Student&Professor"
186,"nominate","vt. 推荐；提名；任命；指定","Student&Professor"
187,"medieval","adj. 中世纪的；原始的","Student&Professor"
188,"speculate","vi. 推测；投机；思索","Student&Professor"
189,"transient","adj. 短暂的；路过的","Student&Professor"
190,"territory","n. 领土，领域","Student&Professor"
191,"imitate","vt. 模仿，仿效","Student&Professor"
192,"allotted","adj. 专款的；拨出的","Student&Professor"
193,"eligible","adj. 合格的，合适的","Student&Professor"
194,"forefront","n. 最前线","Student&Professor"
195,"aerospace","航空航天空间","Student&Professor"
196,"astronaut","n. 宇航员，航天员","Student&Professor"
197,"orbit","vt. 绕…轨道而行","Student&Professor"
198,"prominent","adj. 突出的，显著的","Student&Professor"
199,"alumnus","n. 男校友；男毕业生[ 复数 alumni ]","Student&Professor"
200,"overlap","n. 重叠；重复","Student&Professor"
201,"cultivate","vt. 培养；陶冶；耕作","Student&Professor"
202,"heyday","n. 全盛期","Student&Professor"
203,"tackle","vt. 处理；抓住；固定","Student&Professor"
204,"consciousness","n. 意识；知觉","Student&Professor"
205,"monologue","n. 独白","Student&Professor"
206,"chronologically","adv. 按年代地","Student&Professor"
207,"dilemma","n. 困境；进退两难","Student&Professor"
208,"hydrologic","adj. 水文的","Student&Professor"
209,"evaporation","n. 蒸发；消失","Student&Professor"
210,"condensation","n. 冷凝；凝结；压缩","Student&Professor"
211,"precipitation","沉淀物","Student&Professor"
212,"arctic","adj. 北极的；极寒的","Student&Professor"
213,"moisture","n. 水分；湿度；潮湿；降雨量","Student&Professor"
214,"topography","n. 地势；地形学；地志","Student&Professor"
215,"vapor","n. 蒸汽；烟雾","Student&Professor"
216,"anatomy","n. 解剖；解剖学；剖析；骨骼","Student&Professor"
217,"circulatory","adj. 循环的","Student&Professor"
218,"metabolic","adj. 变化的；新陈代谢的","Student&Professor"
219,"jellyfish","n. 水母","Student&Professor"
220,"bioluminescence","n. 生物体之发光","Student&Professor"
221,"organism","n. 有机体；生物体；微生物","Student&Professor"
222,"aquatic","adj. 水生的；水栖的","Student&Professor"
223,"hydroponics","n. 水栽培，水耕法","Student&Professor"
224,"biographical","adj. 传记的，传记体的","Student&Professor"
225,"sketch","n. 素描；略图；梗概","Student&Professor"
226,"philosophy","n. 哲学；哲理；人生观","Student&Professor"
227,"intellectual","n. 知识分子","Student&Professor"
228,"sabbatical","n. 休假（美国某些大学给大学教师每七年一次的）","Student&Professor"
229,"adept","adj. 熟练的；擅长…的","Student&Professor"
230,"nocturnal","adj. 夜的；夜曲的；夜间发生的","Student&Professor"
231,"paradox","n. 悖论，反论","Student&Professor"
232,"miniature","n. 缩图；微型画；微型图画绘画术","Student&Professor"
233,"daunting","adj. 使人畏缩的；使人气馁的；令人怯步的","Student&Professor"
234,"critique","n. n. 批评；评论文章","Student&Librarian"
235,"controversial","adj. 有争议的；有争论的","Student&Librarian"
236,"fuss","n. 大惊小怪；小题大作；忙乱","Student&Librarian"
237,"premiere","vi./vt. 初次公演；首次露面","Student&Librarian"
238,"stack","n. 堆；堆叠","Student&Librarian"
239,"radical","adj. 激进的；根本的；彻底的","Student&Librarian"
240,"privilege","n. 特权；优待；基本权利","Student&Librarian"
241,"judicial","adj. 公正的，明断的；法庭的；审判上的","Student&Librarian"
242,"byline","vt.署名","Student&Librarian"
243,"enrollment","n. 登记；入伍","Student&Librarian"
244,"geology","n. 地质学；地质情况","Student&Librarian"
245,"register","vi. 登记，注册","Student&Student"
246,"contemporary","adj. 当代的；同时期的","Student&Student"
247,"fairly","adv. 相当地；公平地","Student&Student"
248,"diplomat","n. 外交家，外交官","Student&Student"
249,"picky","adj. 挑剔的；吹毛求疵的","Student&Student"
250,"bulletin","n./vt. 公布，公告","Student&Employee"
251,"artsy","adj. 艺术家气派的；装艺术的","Student&Employee"
252,"orchestra","n. 管弦乐队","Student&Employee"
253,"cellist","n. 大提琴演奏家","Student&Employee"
254,"flyer","n. 传单","Student&Employee"
255,"zillion","n. 庞大的数字；无法计算的大数字","Student&Employee"
256,"rigid","adj. 严格的；僵硬的，死板的；坚硬的；精确的","Student&Employee"
257,"syllabus","n. 教学大纲，摘要；课程表","Student&Employee"
258,"deposit","n. 存款；保证金；沉淀物","Student&Employee"
259,"payroll","n. 工资单","Student&Employee"
260,"retrieve","v. 检索；恢复；重新得到","Student&Employee"
261,"choir","n. 唱诗班；合唱队；舞蹈队","Student&Employee"
262,"bulldozer","n. 推土机；欺凌者，威吓者","Student&Employee"
263,"ensemble","n. 全体；合奏组","Student&Employee"
264,"auditorium","n. 礼堂，会堂","Student&Employee"
265,"cafeteria","n. 自助餐厅","Student&Employee"
266,"pesticide","n. 杀虫剂","Student&Employee"
267,"retraction","n. 撤回，撤销；收回","Student&Employee"
268,"exaggerated","adj. 夸张的，言过其实的","Student&Employee"
269,"cosmopolitan","adj. 世界性的；世界主义的","Student&Employee"
270,"cliche","n. 陈词滥调","Student&Employee"
271,"elective","n. 选修课程","Student&Employee"
272,"curriculum","n. 课程","Student&Employee"
273,"preparatory Course","n. 预备课程","Student&Employee"
274,"foundation course","n.基础课程","Student&Employee"
275,"intro/introduction course","n.导论课程","Student&Employee"
276,"intermediate Course","n.中级课程","Student&Employee"
277,"advanced course","n.高级课程","Student&Employee"
278,"audiovisual","adj. 视听的；视听教学的","Student&Employee"
