id,"word_name","meaning","type"
230,"Helium","n. 氦气 /氦","Astronomy"
231,"hydrogen","n.氢气，氢","Astronomy"
232,"image","n. 图像","Astronomy"
233,"infrared ray","n.红外线","Astronomy"
234,"Law","n.定律；法律","Astronomy"
235,"albedo","n.反照率 /反射率","Astronomy"
236,"Length","n. 长度","Astronomy"
237,"liquid","n. 液体","Astronomy"
238,"lubricate","vt.润滑","Astronomy"
239,"lunar=moon","n.月亮","Astronomy"
240,"mantle","n.地幔","Astronomy"
241,"melted","adj.融化","Astronomy"
242,"meteor showers","n.流星雨","Astronomy"
243,"microscopic","a. 微观的 /显微镜的","Astronomy"
244,"mission","n.任务","Astronomy"
245,"moon","n.月亮；卫星","Astronomy"
246,"multiplying by","v.乘","Astronomy"
247,"NASA:","abbr.(美国)国家航空和宇宙航行局","Astronomy"
248,"National Aeronautics and Space Administration","(美国)国家航空和宇宙航行局","Astronomy"
249,"navigational aid","n.助航设备","Astronomy"
250,"observation","n.观察","Astronomy"
251,"on the far side of the moon n.远月点 ","","Astronomy"
252,"optical radiation","n.光辐射","Astronomy"
253,"orbit","n.轨道","Astronomy"
254,"oxygen","n.氧气，氧","Astronomy"
255,"paradox","n. 悖论；似非而是的论点","Astronomy"
256,"permanent base","n.永久基地","Astronomy"
257,"phases of the Moon","n.月相","Astronomy"
258,"phenomena","的复数）","Astronomy"
259,"planet","n. 行星","Astronomy"
260,"position","n.位置v. 定位，安置","Astronomy"
261,"practical value","n.实用价值","Astronomy"
262,"primitive life","n.原始生命","Astronomy"
263,"purified","adj.净化的","Astronomy"
264,"putting in a decimal","n.放入小数（除）","Astronomy"
265,"reflected light","n.反射光","Astronomy"
266,"rocket fuel","n.火箭燃料","Astronomy"
267,"seafarer","n.航海家","Astronomy"
268,"solar system","n.太阳系","Astronomy"
269,"space exploration","n.太空探索","Astronomy"
270,"space probe","n.航天/空间探测器","Astronomy"
271,"space suit","n.宇航服","Astronomy"
272,"spacecraft","n. 太空飞船","Astronomy"
273,"space ship","n.太空","Astronomy"
274,"spectral lines of light","n.光谱线","Astronomy"
275,"spectroscopy","n.光谱学","Astronomy"
276,"spectrum","n.光谱","Astronomy"
277,"subtract","v.减","Astronomy"
278,"sun spots","n.太阳黑子","Astronomy"
279,"telescope","n.望远镜","Astronomy"
280,"the pacific islands","太平洋岛","Astronomy"
281,"the Vikings","维京人","Astronomy"
282,"topographical map","n.地形图","Astronomy"
283,"ultrared","adj.红外线的","Astronomy"
284,"ultra-violet","n.紫外线","Astronomy"
285,"Underground rivers/water","n.地下水","Astronomy"
286,"visible light","n.可见光","Astronomy"
287,"water molecules","n.水分子","Astronomy"
288,"zenith star","n.天顶星 九大行星","Astronomy"
289,"Mercury","n. 水星","Astronomy"
290,"Venus","n. 金星","Astronomy"
291,"Earth","n. 地球","Astronomy"
292,"Mars","n. 火星","Astronomy"
293,"Jupiter","n. 木星","Astronomy"
294,"Saturn","n. 土星","Astronomy"
295,"Uranus","n. 天王星","Astronomy"
296,"Neptune","n. 海王星","Astronomy"
297,"Pluto","n.【已取消】冥王星","Astronomy"
298,"enzyme","n.酶","Biology"
299,"chromosomes","n.染色体","Biology"
300,"telomerase","n.端粒酶（核糖体蛋白酶）.","Biology"
301,"gene","n.基因，遗传因子","Biology"
302,"genetic code","n.基因代码","Biology"
303,"laboratory","n.实验室","Biology"
304,"nerve cells","n.神经细胞","Biology"
305,"skin cells","n.皮肤细胞","Biology"
306,"renewing","n.更新","Biology"
307,"organ","n. 器官","Biology"
308,"tissue","n.组织","Biology"
309,"sequences","n.序列","Biology"
310,"genic mutation","n.基因突变","Biology"
311,"amphibian","n.两栖动物","Biology"
312,"digestion","n.消化","Biology"
313,"herbivore","n. 食草动物","Biology"
314,"hormone","n. 激素，荷尔蒙","Biology"
315,"insecticide","n. 杀虫剂，农药","Biology"
316,"omnivorous","a. 杂食的","Biology"
317,"pesticide","n.农药 | 杀虫剂","Biology"
318,"zoology","n. 动物学","Biology"
319,"vitamin","n. 维生素，维他命","Biology"
320,"Symbiosis","n.共生，共生关系","Biology"
321,"speciology","n. 物种学","Biology"
322,"secretion","n.分泌，分泌物","Biology"
323,"ruminant","n. 反刍动物","Biology"
324,"heredity:","n.遗传，遗传性","Biology"
325,"herbivorous:","a.食草的，草食的","Biology"
326,"entomology","n. 昆虫学","Biology"
327,"compound eye","n.复眼","Biology"
328,"immune system","n.免疫系统","Biology"
329,"antibiotic","n.抗生素","Biology"
330,"pregnant","a. 怀孕的","Biology"
331,"prairie","n.大草原；牧场","Biology"
332,"ranch","n.大农场；大牧场","Biology"
333,"wither","v.凋谢","Biology"
334,"metabolism","n.新陈代谢","Biology"
335,"crossbreed","v.（使）杂交","Biology"
336,"marsh","n.沼泽；湿地","Biology"
337,"meadow","n.草地；牧场","Biology"
338,"malnutrition","n. 营养不良，营养不足","Biology"
339,"jungle","n.热带丛林","Biology"
340,"parasitic","a. 寄生的，寄生虫的","Biology"
341,"osmosis","n.渗透，渗透作用","Biology"
342,"strengthen","vt.加强","Biology"
343,"rust","v.(使)生锈","Biology"
344,"rhizome","n. 根茎，根状茎，地下茎","Biology"
345,"decaffeinated","adj. 不含咖啡因","Biology"
346,"algae","n. 藻类","Botany"
347,"birch","n.桦树","Botany"
348,"cactus","n.仙人掌","Botany"
349,"corn","n.玉米","Botany"
350,"maize","n.玉米","Botany"
351,"crop","n.农作物","Botany"
352,"deciduous tree","a.落叶/阔叶树","Botany"
353,"eucalyptus","n.桉树","Botany"
354,"fungi .","n.真菌；菌类；蘑菇","Botany"
355,"fungus","n 真菌，菌类","Botany"
356,"grain","n. 谷物","Botany"
357,"lichen","n. 地衣；青苔","Botany"
358,"maple","n.枫树","Botany"
359,"moss","n.青苔 ，藓类","Botany"
360,"Nightshade family","n. 茄科","Botany"
361,"oak","n.橡树","Botany"
362,"onion","n.洋葱","Botany"
363,"paleontology","a.古生物","Botany"
364,"pine needle","n.松叶/松针","Botany"
365,"potato","n.土豆","Botany"
366,"spartina","n.大米草（盐滩）","Botany"
367,"tomato","n.番茄","Botany"
368,"tulips","n.郁金香","Botany"
369,"vegetation","n.植物","Botany"
370,"prosper","vi.繁荣","Business"
371,"The dotcom crash","n.互联网泡沫","Business"
372,"out of business","歇业，破产.","Business"
373,"Irrational","adj.不理性的","Business"
374,"boom and bust","繁荣与萧条","Business"
375,"industry","n.产业，工业","Business"
376,"native to","原产至","Business"
377,"hail from","来自于，出产于","Business"
378,"remote mountainous region","n.偏远山区","Business"
379,"nomad","n.游牧民","Business"
380,"merchant","n.商人","Business"
381,"diplomat","n.外交官","Business"
382,"tulip mania","n.狂热","Business"
383,"gardening","n.园艺","Business"
384,"horticulture","n.园艺","Business"
385,"disposable income","n.可支配收入","Business"
386,"luxury","n.奢侈品","Business"
387,"commodity","n.商品","Business"
388,"specimen","n.样本","Business"
389,"variation","n.变种","Business"
390,"gold","n.金子（区：goal目标）","Business"
391,"promissory note","n.本票","Business"
392,"guarantee","v.担保","Business"
393,"speculation","n.投机","Business"
394,"profit","n.利润","Business"
395,"revenue","n.收入","Business"
396,"income","n.收入","Business"
397,"cost","n. 成本","Business"
398,"borrowing","n.借款","Business"
399,"mortgage","n./vt. 抵押","Business"
400,"auction","n./vt.拍卖","Business"
401,"bidder","n.投标者","Business"
402,"Panic","n. 恐慌","Business"
403,"collapse","n./vt.崩溃","Business"
404,"service","n.服务","Business"
405,"product","n.产品","Business"
406,"potential customer","n.潜在客户","Business"
407,"media","n.媒体","Business"
408,"communication","n.媒体","Business"
409,"advertisement","n.广告","Business"
410,"adman","n.广告人","Business"
411,"advertising plan","n.广告策划","Business"
412,"billboard","n.公告牌","Business"
413,"target age group","n.目标年龄群","Business"
414,"market research/survey","市场调查","Business"
415,"tax","n.税金","Business"
416,"client","n.客户","Business"
417,"commercial","adj.商业的；营利的","Business"
418,"monetary","adj. 货币的，财政的","Business"
419,"infrastructure","n.基础设施","Business"
420,"out of work","n.失业","Business"
421,"collaborate","vi. 合作；协作","Business"
422,"industry cluster:","n.产业集群","Business"
423,"skilled labor","n.熟练工人","Business"
424,"Great Depression","n.大萧条","Business"
425,"mass communications","大众传播工具","Business"
426,"industrial revolution","n.工业革命，产业革命","Business"
427,"slogan","n. 标语；呐喊声","Business"
428,"brand","n.品牌，商标","Business"
429,"trademark","n.品牌，商标","Business"
430,"urbanization","n. 都市化","Business"
431,"bureaucracy","n. 官僚主义","Business"
432,"acid","n.酸","Chemistry"
433,"atomic number","n.原子序数,","Chemistry"
434,"biochemistry","n.生物化学","Chemistry"
435,"carbohydrate","n.碳水化合物","Chemistry"
436,"carbon dioxide","n.二氧化碳","Chemistry"
437,"carbon","n. 碳","Chemistry"
438,"chemist","n.化学家","Chemistry"
439,"compound","n.化合物","Chemistry"
440,"cyclotron","n.粒子回旋加速器","Chemistry"
441,"decay","v. 衰退；衰减","Chemistry"
442,"early version","n.早期版本","Chemistry"
443,"electron","n.电子","Chemistry"
444,"gap","n.缺口；空白","Chemistry"
445,"hydrogen","n. 氢","Chemistry"
446,"infrared microscope","n.红外线显微镜","Chemistry"
447,"ingredient","n.材料","Chemistry"
448,"inorganic chemistry","n. 无机化学","Chemistry"
449,"iron","n. 铁","Chemistry"
450,"isotope","n.同位素","Chemistry"
451,"lead","n.铅","Chemistry"
452,"liquefy","v.溶化 | 液化","Chemistry"
453,"matter","n.物质","Chemistry"
454,"substances","n.物质","Chemistry"
455,"material","n.物质","Chemistry"
456,"museum curator","n.博物馆馆长","Chemistry"
457,"neutron","n. 中子","Chemistry"
458,"nitrogen","n.氮","Chemistry"
459,"ore sample","n. 矿石样本","Chemistry"
460,"original","n.原作","Chemistry"
461,"oxide","n.氧化物","Chemistry"
462,"oxygen","n.氧","Chemistry"
463,"phosphorus","n. 磷","Chemistry"
464,"pigments","n.颜料；色素","Chemistry"
465,"plastic","n.塑料的","Chemistry"
466,"properties","n.特性","Chemistry"
467,"proton number","n.质子","Chemistry"
468,"proton","n.质子","Chemistry"
469,"radioactive Uranium","n.放射性铀","Chemistry"
470,"spectral signature","n. 光谱特征","Chemistry"
471,"sulfide","n. 硫化物","Chemistry"
472,"sulfur","n. 硫","Chemistry"
473,"synthesize","v.合成；综合","Chemistry"
474,"the periodic table","n.元素周期表","Chemistry"
475,"wavelengths","n.波长","Chemistry"
476,"X-ray","X光","Chemistry"
477,"zinc","n.锌","Chemistry"
478,"choreography","n.编舞","Dance"
479,"ballet","n.芭蕾舞","Dance"
480,"agricultural","a.农业的","Environmental Science"
481,"alternative energy sources","n.替代能源","Environmental Science"
482,"insulating effect","n.隔绝效果","Environmental Science"
483,"artificially","ad. 人造地","Environmental Science"
484,"atmosphere","n.大气，大气层","Environmental Science"
485,"autumn","n.秋","Environmental Science"
486,"bird band","n.鸟足识别环，鸟足带","Environmental Science"
487,"body fat","n. 体脂肪","Environmental Science"
488,"cease to exist","v.灭绝","Environmental Science"
489,"extinct","v.灭绝","Environmental Science"
490,"die out","v.灭绝","Environmental Science"
491,"climate","n.气候","Environmental Science"
492,"coal","n.煤","Environmental Science"
493,"decompose","v. 分解","Environmental Science"
494,"degree Celsius","adj.摄氏度","Environmental Science"
495,"destination","n. 目的地，终点","Environmental Science"
496,"drain","vt.排水；流干","Environmental Science"
497,"eastern","a. 东","Environmental Science"
498,"ecological tourism","n.生态观光","Environmental Science"
499,"ecologists","a.生态学家","Environmental Science"
500,"ecology","n.生态","Environmental Science"
501,"economic factors","n.经济因素","Environmental Science"
502,"eco(ecological","n.生态系统","Environmental Science"
503,"ecosystem","n.生态系统","Environmental Science"
504,"eco(ecological","n.生态旅游者","Environmental Science"
505,"emigrate","vi.移居外国","Environmental Science"
506,"fertilizers","n. 肥料","Environmental Science"
507,"forecast","n.／ vt. 天气预报 ,预测","Environmental Science"
508,"fossil oil","n. 石油","Environmental Science"
509,"petroleum","n. 石油","Environmental Science"
510,"frost","n.霜；冰冻","Environmental Science"
511,"hemisphere","n.半球","Environmental Science"
512,"humid","a.潮湿的","Environmental Science"
513,"hurricane","n. 暴风","Environmental Science"
514,"hygrometer","a. 湿度计","Environmental Science"
515,"immigrate","vi.使移居入境","Environmental Science"
516,"interrelationship","n. 相互关系","Environmental Science"
517,"labeled","adj.被贴标签的","Environmental Science"
518,"layer","n.底层，层","Environmental Science"
519,"meteorological","n.气象的","Environmental Science"
520,"meteorology","n.气象状态，气象学","Environmental Science"
521,"microbes","n.微生物，细菌","Environmental Science"
522,"migrate","vi. 移动；使移居；使移植","Environmental Science"
523,"migration routes","n.迁徙路线","Environmental Science"
524,"moist","a.潮湿的；多雨的","Environmental Science"
525,"nectar","n.花蜜","Environmental Science"
526,"nesting sites","n.筑巢区","Environmental Science"
527,"nitrogen cycle","n.氮循环","Environmental Science"
528,"northern","a. 北方的","Environmental Science"
529,"nutrient","n.营养物","Environmental Science"
530,"oceanography","n.海洋学","Environmental Science"
531,"organism","n.生物体；有机体；微生物","Environmental Science"
532,"oysters","n.牡蛎，蚝","Environmental Science"
533,"particles","n.微粒","Environmental Science"
534,"peak","n.顶峰，最高值","Environmental Science"
535,"permafrost","n.永久冻土","Environmental Science"
536,"phosphorus cycle","n.磷循环.","Environmental Science"
537,"pollen","n.花粉","Environmental Science"
538,"pollinated","v.授粉","Environmental Science"
539,"pollution","n.污染","Environmental Science"
540,"contaminate","vt.污染","Environmental Science"
541,"recycle","vt. 循环","Environmental Science"
542,"run-off","v.排水，径流","Environmental Science"
543,"sandstorm","n. 沙暴","Environmental Science"
544,"sediments","n. 沉淀物","Environmental Science"
545,"semiarid","adj. 半干旱","Environmental Science"
546,"soil","n.土壤","Environmental Science"
547,"southern","a. 南方的","Environmental Science"
548,"spring","n.春","Environmental Science"
549,"summer","n.夏","Environmental Science"
550,"temperature","n. 温度","Environmental Science"
551,"the carbon cycle","n.碳循环","Environmental Science"
552,"the consumer market","消费者市场","Environmental Science"
553,"the land /water phase","n.阶段","Environmental Science"
554,"the Mexico Gulf","n.墨西哥湾","Environmental Science"
555,"thermometer","n.温度计；体温计","Environmental Science"
556,"thunder","n. 雷","Environmental Science"
557,"tornado","n.龙卷风；旋风","Environmental Science"
558,"track","n.跟踪","Environmental Science"
559,"typhoon","n. 台风","Environmental Science"
560,"weathered","n. 风化.","Environmental Science"
561,"western","a. 西方的","Environmental Science"
562,"winter","n.冬","Environmental Science"
563,"Atlantic (Ocean)",")n. 大西洋","Geology$Geography"
564,"aquifers","n.蓄水层","Geology$Geography"
565,"barren","a. 贫瘠","Geology$Geography"
566,"basin","n.盆地","Geology$Geography"
567,"carbonic acid","n.碳酸","Geology$Geography"
568,"continent","n. 大陆，洲","Geology$Geography"
569,"continental drift","大陆漂移说","Geology$Geography"
570,"continental slope","大陆坡","Geology$Geography"
571,"coral island","n. 珊瑚岛","Geology$Geography"
572,"dating technique","n.年代测定技术","Geology$Geography"
573,"Death Valley","n.（美）死谷","Geology$Geography"
574,"desert","n.沙漠","Geology$Geography"
575,"dissolves","v.溶解；分解","Geology$Geography"
576,"draw a diagram","v.画个图表","Geology$Geography"
577,"drill","v.钻(孔)","Geology$Geography"
578,"drought","n.干旱","Geology$Geography"
579,"earthquake","n.地震","Geology$Geography"
580,"elevation/height","n.海拔","Geology$Geography"
581,"Empty Quarter","n.阿拉伯半岛沙漠“空白之地”","Geology$Geography"
582,"equator","n.赤道","Geology$Geography"
583,"erode","vt.腐蚀，侵蚀","Geology$Geography"
584,"extinct volcano","n.死火山","Geology$Geography"
585,"formation","n.形成","Geology$Geography"
586,"frigid zone","n.寒带","Geology$Geography"
587,"geologic feature","n.地质特征","Geology$Geography"
588,"geologist","n.地质学家","Geology$Geography"
589,"geothermal","adj.地热的","Geology$Geography"
590,"glacier","n.冰川，冰河","Geology$Geography"
591,"granary","n.谷仓","Geology$Geography"
592,"granite","n.花岗岩","Geology$Geography"
593,"grassland","n. 草原","Geology$Geography"
594,"gypsum","n.石膏","Geology$Geography"
595,"interglacial","adj.间冰期的","Geology$Geography"
596,"lake","n.湖","Geology$Geography"
597,"latitude","n.纬度","Geology$Geography"
598,"limestone","n.石灰岩","Geology$Geography"
599,"longitude","n.经度","Geology$Geography"
600,"magma","n.熔岩","Geology$Geography"
601,"lava","n.熔岩","Geology$Geography"
602,"magnetic force","n.磁力","Geology$Geography"
603,"moisture","n. 水分，湿度","Geology$Geography"
604,"monsoon rains","n.季风雨","Geology$Geography"
605,"North pole/Arctic","n.北极","Geology$Geography"
606,"Pacific ( Ocean)",")n. 太平洋","Geology$Geography"
607,"particle","n.颗粒","Geology$Geography"
608,"plain，flatland","平原","Geology$Geography"
609,"plate tectonics","n.板块构造论","Geology$Geography"
610,"plateau","n.高原","Geology$Geography"
611,"highland","n.高原","Geology$Geography"
612,"polar region","n.极地","Geology$Geography"
613,"rain forest","n.雨林","Geology$Geography"
614,"rainfall","n.降雨量","Geology$Geography"
615,"salinity","n.盐度","Geology$Geography"
616,"sandstone","n.砂岩","Geology$Geography"
617,"seismometer","n.地震仪；地震检波器","Geology$Geography"
618,"silver","银","Geology$Geography"
619,"soluble","a.可溶的，可溶解的","Geology$Geography"
620,"South pole/Antarctic","n.南极","Geology$Geography"
621,"temperate zone","n.温带","Geology$Geography"
622,"terrestrial heat","n.地热","Geology$Geography"
623,"terrestrial magnetism","n.地磁学；地磁","Geology$Geography"
624,"thaw","n.解冻，融雪","Geology$Geography"
625,"the Arabian Peninsula","n.阿拉伯半岛","Geology$Geography"
626,"the cycle","n.周期循环","Geology$Geography"
