id,"word_name","meaning","type"
849,"Well-trained","受过良好教育的","character"
850,"Effective","有效率的","character"
851,"A bunch of","一群","Words and Phrases"
852,"Academic","学术的","Words and Phrases"
853,"Academic building","学术楼","Words and Phrases"
854,"Have access to internet","连接网络","Words and Phrases"
855,"Reach your goal","达到目标","Words and Phrases"
856,"achieve your goal","达到目标","Words and Phrases"
857,"Add up","登记","Words and Phrases"
858,"Admission office","招生办","Words and Phrases"
859,"Anonymous","匿名的","Words and Phrases"
860,"Apply for","申请","Words and Phrases"
861,"Assigned homework","布置作业","Words and Phrases"
862,"Assigned tasks","布置作业","Words and Phrases"
863,"As…as possible","尽可能","Words and Phrases"
864,"At the position …","的位置上","Words and Phrases"
865,"At the same level","在同一水平上","Words and Phrases"
866,"Available","有效的","Words and Phrases"
867,"Award ceremony","颁奖仪式","Words and Phrases"
868,"A waste of","浪费","Words and Phrases"
869,"A variety of","许多","Words and Phrases"
870,"Various of","许多","Words and Phrases"
871,"Automatically","自动的，不假思索的","Words and Phrases"
872,"Battery is running low","电量变少","Words and Phrases"
873,"Get to know","明白","Words and Phrases"
874,"Be looking forward to doing","盼望","Words and Phrases"
875,"Be suppose to","应该","Words and Phrases"
876,"Be thrilled about","非常兴奋的","Words and Phrases"
877,"Be worth it","值得的","Words and Phrases"
878,"Benefit from","受益","Words and Phrases"
879,"Bite into an apple","啃苹果","Words and Phrases"
880,"Bring it with sb",". 随身带着","Words and Phrases"
881,"Block out","挡着","Words and Phrases"
882,"Block the view","阻挡视野","Words and Phrases"
883,"Burst into","爆发","Words and Phrases"
884,"Bus schedule","汽车时间表","Words and Phrases"
885,"Cafeteria menu","自助餐厅菜单","Words and Phrases"
886,"Call back","收回","Words and Phrases"
887,"Carry around","随身携带","Words and Phrases"
888,"Challenge","挑战","Words and Phrases"
889,"Chapter","章节","Words and Phrases"
890,"Charming","迷人的","Words and Phrases"
891,"Check anytime","随时查阅","Words and Phrases"
892,"Check the email","检查邮件","Words and Phrases"
893,"Check the schedule","检查日程表","Words and Phrases"
894,"Choir","合唱队","Words and Phrases"
895,"Class assignment","课堂作业","Words and Phrases"
896,"Computer repair shop","电脑维修店","Words and Phrases"
897,"Conflict","冲突","Words and Phrases"
898,"Convince sb",". 说服","Words and Phrases"
899,"Course schedule","课程安排","Words and Phrases"
900,"Cover a couple of stories","报道很多故事","Words and Phrases"
901,"Cream-colored","奶油色的","Words and Phrases"
902,"Criticize","批评，吹毛求疵","Words and Phrases"
903,"Rely on sb",". 指望","Words and Phrases"
904,"Coverage","覆盖范围","Words and Phrases"
905,"Change route","改变路线","Words and Phrases"
906,"Chef","厨师","Words and Phrases"
907,"Classical music","古典乐","Words and Phrases"
908,"Cloudy","多云的","Words and Phrases"
909,"Concentrate on","集中","Words and Phrases"
910,"Consistent light","可控灯光","Words and Phrases"
911,"Contribute to","促进","Words and Phrases"
912,"Create goals","设立目标","Words and Phrases"
913,"Cut back","削减，修剪","Words and Phrases"
914,"Deadline extension","推迟截止日","Words and Phrases"
915,"Deadline with the schoolwork","处理家庭作业","Words and Phrases"
916,"Demand for treatment","对治疗的需求","Words and Phrases"
917,"Disruptive","破坏的","Words and Phrases"
918,"Distracting","分心的","Words and Phrases"
919,"Distraction","注意力分散","Words and Phrases"
920,"Donor","捐赠者","Words and Phrases"
921,"Do an independent study","独立学习","Words and Phrases"
922,"Do reviewing","回顾","Words and Phrases"
923,"Dormitory","宿舍","Words and Phrases"
924,"Draft","草稿","Words and Phrases"
925,"Drive and commute to campus","通勤到学校","Words and Phrases"
926,"Drop out of","退学","Words and Phrases"
927,"Drastic","激烈的","Words and Phrases"
928,"Deadline/ due date","到期的","Words and Phrases"
929,"Electric light bulb","电灯泡","Words and Phrases"
930,"Exercise equipment","运动设施","Words and Phrases"
931,"Energy-efficient","节能的","Words and Phrases"
932,"Element school","小学","Words and Phrases"
933,"Elevator","电梯","Words and Phrases"
934,"Enormously","非常地巨大地","Words and Phrases"
935,"Embarrassing","尴尬的","Words and Phrases"
936,"Expertise","专门知识","Words and Phrases"
937,"End up doing sth…","结束","Words and Phrases"
938,"Eventually","最后地","Words and Phrases"
939,"Email people","给某人发邮件","Words and Phrases"
940,"Eliminate","消除","Words and Phrases"
941,"Enrollment","登记，入伍","Words and Phrases"
942,"Experiment with programming","进行试验","Words and Phrases"
943,"Facilities","设施","Words and Phrases"
944,"Fancy restaurant","精心设计的餐馆","Words and Phrases"
945,"Field up","实地考察","Words and Phrases"
946,"Figure out","想出","Words and Phrases"
947,"Final draft","终稿","Words and Phrases"
948,"Final exam","期末考试","Words and Phrases"
949,"Finish literature degree","完成文学学位","Words and Phrases"
950,"Finish up doing","结束某事","Words and Phrases"
951,"Fit into schedule","符合时间表","Words and Phrases"
952,"Formal","格式","Words and Phrases"
953,"Free Internet access","免费上网","Words and Phrases"
954,"meet the requirement","完成要求","Words and Phrases"
955,"Get work done","完成工作","Words and Phrases"
956,"Get canceled","取消","Words and Phrases"
957,"Grant extensions","准许延期","Words and Phrases"
958,"Go back and forth","来回地，反复地","Words and Phrases"
959,"Get a summer research position","暑期研究岗位","Words and Phrases"
960,"Get stuck with","被困住/被缠住","Words and Phrases"
961,"Go ahead","来吧","Words and Phrases"
962,"Get a philosophy","哲学考试","Words and Phrases"
963,"Get in touch with …","保持联系","Words and Phrases"
964,"Get sth. done","完成某事","Words and Phrases"
965,"Get installed in sp……","装","Words and Phrases"
966,"Get together","聚会，聚集","Words and Phrases"
967,"Give sb a shot","给某人一次机会","Words and Phrases"
968,"Go through","参加","Words and Phrases"
969,"Handful","少数","Words and Phrases"
970,"Have a weekly rate","每周一次","Words and Phrases"
971,"Have electricity","有电力供应","Words and Phrases"
972,"Have contact with","和某人有联络","Words and Phrases"
973,"Have no trouble in doing sth","做某事没有困难","Words and Phrases"
974,"Hot cereal","热麦片粥","Words and Phrases"
975,"Help out","帮助，摆脱困难","Words and Phrases"
976,"Hunt down","穷追直至抓获","Words and Phrases"
977,"Hurry","匆忙","Words and Phrases"
978,"In a hurry","匆忙的","Words and Phrases"
979,"In a sense","在某种意义上","Words and Phrases"
980,"In advance","提前","Words and Phrases"
981,"Inconvenient","不方便的","Words and Phrases"
982,"Improve overnight","一夜之间提高","Words and Phrases"
983,"In stock","存货","Words and Phrases"
984,"In isolation","孤立，绝缘","Words and Phrases"
985,"Institute","学会；学院","Words and Phrases"
986,"Insulate","隔离，孤立","Words and Phrases"
987,"Internet connection","互联网连接","Words and Phrases"
988,"Involve in","参与涉及","Words and Phrases"
989,"Jobs available","有工作","Words and Phrases"
990,"Keep track of information","记录信息","Words and Phrases"
991,"Kick around","粗暴而轻率的对待","Words and Phrases"
992,"Late submission","推迟提交","Words and Phrases"
993,"Lawn","草地","Words and Phrases"
994,"Lead to injury","导致受伤","Words and Phrases"
995,"Legitimate concern","合理的关心的事","Words and Phrases"
996,"Let sb. Down/ disappoint somebody","失望","Words and Phrases"
997,"Living arrangement","住宿安排","Words and Phrases"
998,"Long term consequence","长期后果","Words and Phrases"
999,"Look forward to","盼望","Words and Phrases"
1000,"Major in education","教育专业","Words and Phrases"
1001,"Make a different","有影响","Words and Phrases"
1002,"Make an impression of","让人眼前一亮","Words and Phrases"
1003,"Make a fantastic meal","制作美味的饭菜","Words and Phrases"
1004,"Make improvements","提高；改进","Words and Phrases"
1005,"Make money out of commercials","通过商业广告赚钱","Words and Phrases"
1006,"Make sense","有意义讲得通","Words and Phrases"
1007,"Meaningful","有意义的","Words and Phrases"
1008,"Necessary","必要的","Words and Phrases"
1009,"Necessarily","必要地","Words and Phrases"
1010,"Miss out","错过","Words and Phrases"
1011,"Move out of","搬出","Words and Phrases"
1012,"Museum exhibition","博物馆展览","Words and Phrases"
1013,"Minor characters","小角色","Words and Phrases"
1014,"Motivate","刺激；激励","Words and Phrases"
1015,"Move out of campus","搬离校园","Words and Phrases"
1016,"Offend sb","冒犯某人","Words and Phrases"
1017,"Off-campus","在校园外的","Words and Phrases"
1018,"Offer scholarship","提供奖学金","Words and Phrases"
1019,"Omelet","炒鸡蛋；鸡蛋卷","Words and Phrases"
1020,"On the phone","通电话","Words and Phrases"
1021,"On one’s behalf","代表","Words and Phrases"
1022,"Opening night","首次开演","Words and Phrases"
1023,"Option","选择权","Words and Phrases"
1024,"Optional","可选择的","Words and Phrases"
1025,"Organizational skill","组织能力","Words and Phrases"
1026,"Outdated equipment","过时的设施","Words and Phrases"
1027,"Out-of-date","过时的","Words and Phrases"
1028,"Overcrowding","过度拥挤，挤满","Words and Phrases"
1029,"Pacific Journalism Institute","太平洋新闻协会","Words and Phrases"
1030,"Pack up all stuff","整理","Words and Phrases"
1031,"Parking space","停车位","Words and Phrases"
1032,"Pass through","通过","Words and Phrases"
1033,"Pass the deadline","超过截止日期","Words and Phrases"
1034,"Pay rent","支付租金","Words and Phrases"
1035,"Perform in our choir concert","唱诗班表演","Words and Phrases"
1036,"Perspective","观点","Words and Phrases"
1037,"Place an order","订货","Words and Phrases"
1038,"Play the part","扮演角色","Words and Phrases"
1039,"Play the violin","拉小提琴","Words and Phrases"
1040,"Plug in laptop","插入笔记本","Words and Phrases"
1041,"Poster","海报","Words and Phrases"
1042,"Public transportation","公共交通","Words and Phrases"
1043,"Pushy","固执己见","Words and Phrases"
1044,"Quiz","小测验","Words and Phrases"
1045,"Raise the cost of","增加支出","Words and Phrases"
1046,"Reach sb","送至某人","Words and Phrases"
1047,"Read a section","读一章","Words and Phrases"
1048,"Read over","读遍","Words and Phrases"
1049,"Real-life audience","真实听众","Words and Phrases"
1050,"Recreation","娱乐","Words and Phrases"
1051,"Rehearsal","排练","Words and Phrases"
1052,"Remember the lines","记住剧本","Words and Phrases"
1053,"Reminder","暗示，提醒的人","Words and Phrases"
1054,"Rent a van","租货车","Words and Phrases"
1055,"Rent agency","租赁公司","Words and Phrases"
1056,"Renovate the facilities","改善设施","Words and Phrases"
1057,"Requirement","要求","Words and Phrases"
1058,"Required course","必修课","Words and Phrases"
1059,"Research","研究","Words and Phrases"
1060,"Reserve","保留","Words and Phrases"
1061,"Ridiculous","可笑的","Words and Phrases"
1062,"Risky","冒险的","Words and Phrases"
1063,"Roll around","周而复始","Words and Phrases"
1064,"bump into/knock into","遭遇，撞上","Words and Phrases"
1065,"Run out of time","没时间","Words and Phrases"
1066,"Save the trouble of","省去麻烦","Words and Phrases"
1067,"Semester","学期","Words and Phrases"
1068,"Set an agenda","设定日程","Words and Phrases"
1069,"Setup","设置","Words and Phrases"
1070,"Sculptor","雕刻家","Words and Phrases"
1071,"Sculpture","雕塑","Words and Phrases"
1072,"Secondary field","第二领域","Words and Phrases"
1073,"Seminar","讨论会","Words and Phrases"
1074,"Share copy","合用","Words and Phrases"
1075,"Show up","露面；揭露","Words and Phrases"
1076,"Snacks","小吃","Words and Phrases"
1077,"Social event","社会活动","Words and Phrases"
1078,"Solution","解决方案","Words and Phrases"
1079,"Sort of","到某种程度","Words and Phrases"
1080,"Sound like","听起来像","Words and Phrases"
1081,"Specific","具体的","Words and Phrases"
1082,"Stain","斑点","Words and Phrases"
1083,"Stress out","过度劳累","Words and Phrases"
1084,"String quarter","弦乐四重奏","Words and Phrases"
1085,"Staff member","职员","Words and Phrases"
1086,"Study group","学习小组","Words and Phrases"
1087,"Submit the article","提交文章","Words and Phrases"
1088,"Supervise","监督管理","Words and Phrases"
1089,"Spring break","春假","Words and Phrases"
1090,"Sprain the wrist","扭伤手腕","Words and Phrases"
1091,"Start off","开始；出发","Words and Phrases"
1092,"Sleep on the couch","在沙发上休息","Words and Phrases"
1093,"Spaghetti","意大利面","Words and Phrases"
1094,"Split the rent","分摊租金","Words and Phrases"
1095,"Due date","到期日","Words and Phrases"
1096,"Specialty","专业特长","Words and Phrases"
1097,"Spill on","撒汤","Words and Phrases"
1098,"Sticky","粘的","Words and Phrases"
1099,"Stuff like that","类似的东西","Words and Phrases"
1100,"Stay up","熬夜","Words and Phrases"
1101,"Student center","学生中心","Words and Phrases"
1102,"Sunny","晴朗","Words and Phrases"
1103,"Supervise","监督","Words and Phrases"
1104,"Talented","有才的","Words and Phrases"
1105,"Take care of","照看；照顾","Words and Phrases"
1106,"Take over","占据","Words and Phrases"
1107,"Take sb’s place","代替；顶替","Words and Phrases"
1108,"Teaching assignment","授课作业","Words and Phrases"
1109,"That’s the point。","确实如此","Words and Phrases"
1110,"The rest of the day","其余的","Words and Phrases"
1111,"Think it through","自信思考","Words and Phrases"
1112,"Throw off schedule","抛弃安排","Words and Phrases"
1113,"Treatment rooms","医疗室","Words and Phrases"
1114,"Try the place","尝试","Words and Phrases"
1115,"That’s definitely a plus.","的确是一大好处","Words and Phrases"
1116,"Tons of","许多","Words and Phrases"
1117,"Take a position","占据位置","Words and Phrases"
1118,"Take up the space","占据空间","Words and Phrases"
1119,"Typical","典型的","Words and Phrases"
1120,"Unpleasant","不愉快的","Words and Phrases"
1121,"Update","更新","Words and Phrases"
1122,"Uncomfortable","不舒服","Words and Phrases"
1123,"Unconvincing","不足以令人信服","Words and Phrases"
1124,"Waiting list","候补名单","Words and Phrases"
1125,"Wear out","耗尽","Words and Phrases"
1126,"Weekly","每周一次","Words and Phrases"
1127,"Win an award","得奖","Words and Phrases"
1128,"Work hours","工作时间","Words and Phrases"
1129,"Working on group projects","致力于团体合作","Words and Phrases"
1130,"Worthwhile","值得做的","Words and Phrases"
1131,"Wrist","手腕","Words and Phrases"
1132,"Yogurt","优酪乳","Words and Phrases"
1133,"A city attraction","城市旅游景点","Words and Phrases"
1134,"A positive attitude","积极的态度","Words and Phrases"
1135,"A sense of accomplishment","成就感","Words and Phrases"
1136,"A waste of time","浪费时间","Words and Phrases"
1137,"Bump into","偶遇","Words and Phrases"
1138,"Come up with","想出","Words and Phrases"
1139,"Counsel ~on/about~","对...给予建议","Words and Phrases"
1140,"Deal with","处理，应付","Words and Phrases"
1141,"Do indoor activities","进行室内活动","Words and Phrases"
1142,"Do ~ for recreation","为了消遣","Words and Phrases"
1143,"Entertain ~ with ~","用......使....开心","Words and Phrases"
1144,"Experience failure","历经失败","Words and Phrases"
1145,"Gain weight","增加体重","Words and Phrases"
1146,"Gather together","聚在一起","Words and Phrases"
1147,"Get into debt","负债","Words and Phrases"
1148,"Give a lesson","上一堂....的课","Words and Phrases"
1149,"Give support to","支持","Words and Phrases"
1150,"Have a chat with","和....交谈","Words and Phrases"
1151,"Have a passion for","酷爱....","Words and Phrases"
1152,"Have an influence on","对....有影响","Words and Phrases"
1153,"Have experience in","有...的经验","Words and Phrases"
1154,"Have fun with","玩得开心","Words and Phrases"
1155,"Have many functions","有很多功能","Words and Phrases"
1156,"Have trouble with","在...有困难","Words and Phrases"
1157,"Hold a celebration","举行庆祝活动","Words and Phrases"
1158,"Lead a busy life","过忙碌的生活","Words and Phrases"
1159,"Learn a useful lesson","学到有用的一课","Words and Phrases"
1160,"Lower one's standards","降低某人的水平","Words and Phrases"
1161,"Make a budget","做预算","Words and Phrases"
1162,"Make a hasty decision","轻率地做出决定","Words and Phrases"
1163,"A student election","学生选举","Words and Phrases"
1164,"An effective approach to","有效途径","Words and Phrases"
1165,"An unattainable goal","无法实现的目标","Words and Phrases"
1166,"Apply for a scholarship","申请奖学金","Words and Phrases"
1167,"Background knowledge","背景知识","Words and Phrases"
1168,"Be available to","可用","Words and Phrases"
1169,"Be concerned with","关心","Words and Phrases"
1170,"Be eligible for","有...资格","Words and Phrases"
1171,"Be known for","因...而出名","Words and Phrases"
1172,"Build an extension to","扩建","Words and Phrases"
1173,"Set a goal","设定目标","Words and Phrases"
1174,"Stay out of trouble","远离麻烦","Words and Phrases"
1175,"Stay up late","熬夜","Words and Phrases"
1176,"Suffer sleep deprivation","失眠","Words and Phrases"
1177,"Take the risk of","冒险","Words and Phrases"
1178,"Take one's side","支持某人","Words and Phrases"
1179,"Take the initiative to","带头","Words and Phrases"
1180,"Take one's time","从容不迫","Words and Phrases"
1181,"Live by a rule","按规律生活","Words and Phrases"
1182,"Obey the rule","遵守规律","Words and Phrases"
1183,"Look up to","尊敬","Words and Phrases"
1184,"Make a bad impression on","给..留下坏印象","Words and Phrases"
1185,"Make a good impression on","给..留下好印象","Words and Phrases"
1186,"Plan ahead","提前计划","Words and Phrases"
1187,"Provide good nutrition for","为...提供良好的营养","Words and Phrases"
1188,"Put up with","忍受","Words and Phrases"
1189,"Reaching a turning point","到达转折点","Words and Phrases"
1190,"Relieve one's stress","减轻压力","Words and Phrases"
1191,"A field of study","研究领域","Words and Phrases"
1192,"Assign homework to someone","给某人布置家庭作业","Words and Phrases"
1193,"Attend a summer camp","参加夏令营","Words and Phrases"
1194,"Be competent in","在某方面有能力；能胜任","Words and Phrases"
1195,"Be/ get involved in outdoor activities","参与户外活动","Words and Phrases"
1196,"Career preparation","职业准备","Words and Phrases"
1197,"Compulsory subjects","必修科目","Words and Phrases"
1198,"Participate in a class discussion","与课堂讨论","Words and Phrases"
1199,"Promote creative thinking","提倡创造性思维","Words and Phrases"
1200,"Pursue one's individual interest","追求个人兴趣","Words and Phrases"
1201,"Adapt to a situation","适应形势","Words and Phrases"
1202,"After careful thought","认真考虑后","Words and Phrases"
1203,"Optional subjects","选修科目","Words and Phrases"
1204,"Organize one's thoughts","理清思路","Words and Phrases"
1205,"Call roll","点名","Words and Phrases"
1206,"conduct a survey","调查","Words and Phrases"
1207,"Communicate on-line","在线交流","Words and Phrases"
1208,"Do club activities","参加社团活动","Words and Phrases"
1209,"Drop out of school","退学","Words and Phrases"
1210,"Encourage discussion","鼓励讨论","Words and Phrases"
1211,"Enroll in","参加","Words and Phrases"
1212,"Extend the deadline to","延期","Words and Phrases"
1213,"Face-to-face tutoring","面对面的辅导","Words and Phrases"
1214,"Fail an examination","考试不及格","Words and Phrases"
1215,"Fix a computer","修理电脑","Words and Phrases"
1216,"Give a lecture","讲座","Words and Phrases"
1217,"Have a break from school","休学","Words and Phrases"
1218,"Be curious about","对...感到好奇","Words and Phrases"
1219,"Have access to","可以利用","Words and Phrases"
1220,"Have knowledge of","了解","Words and Phrases"
1221,"Live in a dormitory","住在宿舍","Words and Phrases"
1222,"Make a policy","制定政策","Words and Phrases"
1223,"Make a presentation","作报告","Words and Phrases"
1224,"Make an announcement","宣布","Words and Phrases"
1225,"Make an evaluation","评价","Words and Phrases"
1226,"Miss class","缺课","Words and Phrases"
1227,"Organize a field trip","组织实地考察","Words and Phrases"
1228,"Perform an experiment on","用...来做实验","Words and Phrases"
1229,"Reliable research","可靠的调查","Words and Phrases"
1230,"Remodel a building","改建","Words and Phrases"
1231,"Specialize in","专修","Words and Phrases"
1232,"Teacher-centered education","以教师为中心的教育","Words and Phrases"
1233,"Exchange ideas","交换想法","Words and Phrases"
1234,"Tutor in ","辅导","Words and Phrases"
1235,"Vote in favor of","投票赞成","Words and Phrases"
1236,"Work out a solution","想出解决办法","Words and Phrases"
1237,"As a token of","作为...的征兆","Words and Phrases"
1238,"Take responsibility","承担责任","Words and Phrases"
1239,"Be beneficial to","对...有益","Words and Phrases"
1240,"Be critical of","对...持批判态度","Words and Phrases"
1241,"Break a bad habit","改掉坏习惯","Words and Phrases"
1242,"Do something as a routine","按常规做某事","Words and Phrases"
1243,"Endure hardship","承受磨难","Words and Phrases"
1244,"Get into trouble","惹上麻烦","Words and Phrases"
1245,"Get stressed out","压力过大","Words and Phrases"
1246,"Have a workout","锻炼","Words and Phrases"
1247,"Have a common sense","有常识","Words and Phrases"
1248,"Have a sense of humor","有幽默感","Words and Phrases"
1249,"Have a sociable character","喜欢社交","Words and Phrases"
1250,"Have an optimistic/ pessimistic attitude","持乐观/悲观态度","Words and Phrases"
1251,"Have nothing to do with","没什么关系","Words and Phrases"
1252,"Have regrets about","对...感到遗憾","Words and Phrases"
1253,"Have a taste in/for","有品位","Words and Phrases"
1254,"Have trust in","相信","Words and Phrases"
1255,"Hone a skill","磨练技巧","Words and Phrases"
1256,"Increase one's quality of life","提高某人的生活质量","Words and Phrases"
1257,"Gain knowledge from","从....获得知识","Words and Phrases"
1258,"Gain updated information","获得最新信息","Words and Phrases"
1259,"Go through puberty","经历青春期","Words and Phrases"
1260,"Have a diploma in","有.....文凭/ 学历","Words and Phrases"
1261,"Have a strong curiosity about","对.... 有强烈的好奇心","Words and Phrases"
1262,"Have a strong impact on","对..... 有很大影响","Words and Phrases"
1263,"Have the opportunity to","有机会","Words and Phrases"
1264,"Increase one's potential capability","增加某人的潜力","Words and Phrases"
1265,"Major in","主修","Words and Phrases"
1266,"Offer an educational opportunity","提供教育机会","Words and Phrases"
1267,"Be committed to","致力于","Words and Phrases"
1268,"Be emotionally attached to","情感上依附于","Words and Phrases"
1269,"Be hospitable to ","对... 友好","Words and Phrases"
1270,"Be in need of help","需要帮助","Words and Phrases"
1271,"Build social skills ","培养社会技能 ","Words and Phrases"
1272,"Build up trust  ","建立信任 ","Words and Phrases"
1273,"Can afford to ","负担得起","Words and Phrases"
1274,"Do something for a living","谋生","Words and Phrases"
1275,"Drop in at a shopping centre","顺便去购物中心","Words and Phrases"
1276,"Feel connected to","感觉有关系","Words and Phrases"
1277,"Feel secure","感觉安全","Words and Phrases"
1278,"Form public opinion","形成舆论","Words and Phrases"
1279,"Gain the support of","获得....的支持","Words and Phrases"
1280,"Form an organization","建立组织","Words and Phrases"
1281,"Get along with","与... 相处","Words and Phrases"
1282,"Have a close relationship with","与... 有密切联","Words and Phrases"
1283,"Have a sense of community","有社区意识","Words and Phrases"
1284,"Have high standards ","有高标准","Words and Phrases"
1285,"Improve public transportation","改善公共交通","Words and Phrases"
1286,"It is generally agreed that","普遍认同","Words and Phrases"
1287,"Keep an eye on ","照看","Words and Phrases"
1288,"Keep something in mind","留心， 记住某事","Words and Phrases"
1289,"Keep up with /keep pace with","跟上....的步伐","Words and Phrases"
1290,"Make a contribution to","对.... 做出贡献","Words and Phrases"
1291,"Make an important decision for","做出重要决定","Words and Phrases"
1292,"Be isolated to","孤立于","Words and Phrases"
1293,"Become a resident of","成为.... 的居民","Words and Phrases"
1294,"Benefit from","从..... 中获益","Words and Phrases"
1295,"Build a monument to","修建..... 纪念碑","Words and Phrases"
1296,"get a seat","找个空位","proper phrases usage"
1297,"figure out","算出，解决","proper phrases usage"
1298,"reduce waste","减少浪费","proper phrases usage"
1299,"give out a gift","分发礼物","proper phrases usage"
1300,"living expenses","生活费用","proper phrases usage"
1301,"scare people","惊吓某人","proper phrases usage"
1302,"give help","提供帮助","proper phrases usage"
1303,"keep notes","记笔记","proper phrases usage"
1304,"at an early age","有很小的时候","proper phrases usage"
1305,"do related work","做相关工作","proper phrases usage"
1306,"be out","外出","proper phrases usage"
1307,"go by as usual","像往常一样","proper phrases usage"
1308,"watch the stars","看星星","proper phrases usage"
1309,"all of a sudden","突然","proper phrases usage"
1310,"start a bonfire","点燃篝火","proper phrases usage"
1311,"chew snacks","吃小吃","proper phrases usage"
1312,"get along with","一起","proper phrases usage"
1313,"get out of things ","从一些事情中释放","proper phrases usage"
1315,"be born to","出生于","proper phrases usage"
1316,"local custom","当地习俗","proper phrases usage"
1317,"fresh mind","头脑清醒","proper phrases usage"
1318,"earn more tips","获得更多技巧","proper phrases usage"
1319,"Selective","选择性的","proper phrases usage"
1320,"Competitive","有竞争力的","proper phrases usage"
1321,"manage to","设法","proper phrases usage"
1322,"get tired easily","很容易疲劳","proper phrases usage"
1323,"senior citizens","老人","proper phrases usage"
1324,"Homework","家庭作业","proper phrases usage"
1325,"think not as fast ","","proper phrases usage"
1326,"extra efforts","更多的努力","proper phrases usage"
1327,"rare opportunity","极少数的机会","proper phrases usage"
1328,"wait in lines","排队","proper phrases usage"
1329,"at work","在工作","proper phrases usage"
1330,"stable income","稳固的工资","proper phrases usage"
1331,"think it over","想出来","proper phrases usage"
1332,"saving hands","帮助","proper phrases usage"
1333,"study machines","学习工具","proper phrases usage"
1334,"recharge oneself","重塑自我","proper phrases usage"
1335,"feel team spirit","感受到团队精神","proper phrases usage"
1336,"plan it out","订计划","proper phrases usage"
1337,"cheat others","对待他人","proper phrases usage"
1338,"not as efficient","不高效","proper phrases usage"
